iter	Passed	Remaining
1348	302329	145897
1349	302405	145602
1350	302539	145335
1351	302738	145099
1352	302907	144849
1353	303083	144602
1354	303199	144327
1355	303311	144050
1356	303384	143755
1357	303514	143487
1358	303731	143261
1359	303881	143002
1360	304032	142745
1361	304243	142516
1362	304363	142244
1363	304463	141963
1364	304545	141674
1365	304638	141391
1366	304866	141171
1367	305002	140907
1368	305188	140667
1369	305316	140401
1370	305454	140138
1371	305649	139903
1372	305811	139653
1373	305982	139407
1374	306120	139145
1375	306244	138878
1376	306382	138617
1377	306517	138355
1378	306670	138101
1379	306841	137856
1380	306988	137600
1381	307118	137336
1382	307315	137103
1383	307494	136861
1384	307734	136647
1385	307846	136376
1386	307962	136107
1387	308147	135869
1388	308304	135618
1389	308482	135377
1390	308624	135120
1391	308790	134874
1392	308991	134643
1393	309128	134384
1394	309440	134201
1395	309695	133994
1396	309907	133768
1397	310190	133572
1398	310340	133319
1399	310505	133073
1400	310605	132800
1401	310715	132530
1402	310876	132283
1403	311029	132032
1404	311239	131806
1405	311346	131536
1406	311485	131279
1407	311620	131022
1408	311710	130745
1409	311835	130484
1410	312004	130241
1411	312140	129984
1412	312228	129708
1413	312327	129436
1414	312399	129154
1415	312473	128873
1416	312544	128591
1417	312622	128311
1418	313080	128188
1419	313244	127945
1420	313367	127684
1421	313495	127426
1422	313605	127161
1423	313690	126886
1424	313759	126604
1425	313851	126333
1426	314158	126147
1427	314291	125892
1428	314508	125671
1429	314718	125447
1430	314862	125196
1431	315023	124953
1432	315240	124732
1433	315446	124506
1434	315626	124271
1435	315868	124059
1436	316041	123821
1437	316301	123617
1438	316510	123393
1439	316597	123121
1440	316666	122842
1441	316842	122606
1442	317030	122374
1443	317172	122124
1444	317331	121881
1445	317389	121600
1446	317584	121371
1447	317758	121134
1448	317991	120920
1449	318136	120672
1450	318322	120440
1451	318510	120209
1452	318682	119971
1453	318846	119732
1454	318966	119475
1455	319049	119205
1456	319173	118950
1457	319355	118718
1458	319481	118464
1459	319632	118220
1460	319729	117956
1461	319813	117687
1462	319896	117419
1463	319968	117147
1464	320089	116892
1465	320266	116659
1466	320431	116421
1467	320586	116179
1468	320763	115946
1469	320895	115697
1470	321087	115469
1471	321225	115222
1472	321395	114986
1473	321592	114761
1474	321668	114492
1475	321737	114221
1476	321961	114005
1477	322132	113770
1478	322266	113523
1479	322423	113283
1480	322512	113020
1481	322608	112760
1482	322770	112523
1483	322924	112283
1484	323105	112053
1485	323216	111798
1486	323296	111533
